epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3103.78,0.46915,0.54146,0.99097,0.84122,0.78597,0.8163,0.66839,0.52951,0.46977,0.96597,0.005842,0.005842,0.005842
44,3176.62,0.4684,0.54187,0.99168,0.84026,0.79053,0.81743,0.66897,0.52791,0.46849,0.96501,0.005743,0.005743,0.005743
45,3249.57,0.47177,0.54072,0.99393,0.84814,0.7834,0.81612,0.66857,0.52733,0.46825,0.96503,0.005644,0.005644,0.005644
46,3322.42,0.46687,0.52961,0.98851,0.83777,0.78837,0.81712,0.66852,0.5269,0.46688,0.96419,0.005545,0.005545,0.005545
47,3394.27,0.46202,0.52675,0.98898,0.84483,0.78638,0.81656,0.66793,0.52585,0.46611,0.96341,0.005446,0.005446,0.005446
48,3466.94,0.45645,0.52145,0.98533,0.84786,0.78445,0.81718,0.66788,0.52612,0.46499,0.96367,0.005347,0.005347,0.005347
49,3538.67,0.45922,0.52365,0.98527,0.84439,0.78587,0.81818,0.66815,0.52559,0.46385,0.96329,0.005248,0.005248,0.005248
50,3610.56,0.46263,0.52672,0.98809,0.84867,0.78615,0.81904,0.66861,0.52474,0.46143,0.96274,0.005149,0.005149,0.005149
51,3682.24,0.45616,0.52121,0.98526,0.85312,0.78212,0.81884,0.66889,0.52474,0.46022,0.96285,0.00505,0.00505,0.00505
52,3756.57,0.45866,0.51727,0.98555,0.85357,0.78168,0.81956,0.66864,0.52464,0.45914,0.96284,0.004951,0.004951,0.004951
53,3829.37,0.45016,0.5139,0.98124,0.85008,0.78773,0.81911,0.66882,0.52444,0.45777,0.96295,0.004852,0.004852,0.004852
54,3902.45,0.45432,0.51635,0.9823,0.84975,0.78778,0.81899,0.66933,0.52461,0.45711,0.96306,0.004753,0.004753,0.004753
55,3976.51,0.45471,0.51268,0.98352,0.85176,0.78487,0.81902,0.67012,0.52434,0.45633,0.9628,0.004654,0.004654,0.004654
56,4049.71,0.45528,0.51424,0.98516,0.84852,0.78725,0.82023,0.67067,0.52381,0.45592,0.96228,0.004555,0.004555,0.004555
57,4122.58,0.45024,0.5028,0.98008,0.84951,0.78725,0.82049,0.66967,0.52372,0.45519,0.96225,0.004456,0.004456,0.004456
58,4195,0.44383,0.50069,0.97759,0.84566,0.79051,0.82086,0.66987,0.5237,0.45529,0.96219,0.004357,0.004357,0.004357
59,4267.12,0.44787,0.50554,0.9807,0.84533,0.79064,0.82092,0.66985,0.52351,0.45441,0.96166,0.004258,0.004258,0.004258
60,4339.33,0.4456,0.49845,0.9782,0.84851,0.79193,0.82067,0.66994,0.52359,0.45447,0.96167,0.004159,0.004159,0.004159
61,4411.61,0.44808,0.49897,0.97827,0.85049,0.79146,0.82101,0.67009,0.52382,0.45416,0.96168,0.00406,0.00406,0.00406
62,4484.02,0.44471,0.48981,0.97659,0.85027,0.79119,0.82264,0.67046,0.52418,0.45388,0.96186,0.003961,0.003961,0.003961
63,4557.05,0.43993,0.48882,0.97643,0.85074,0.79105,0.82196,0.67034,0.52397,0.45323,0.96189,0.003862,0.003862,0.003862
64,4630.08,0.43531,0.48575,0.97219,0.84973,0.78991,0.82203,0.67059,0.52335,0.45275,0.96169,0.003763,0.003763,0.003763
65,4700.48,0.4396,0.48692,0.97463,0.85031,0.79334,0.82235,0.67079,0.52433,0.45237,0.962,0.003664,0.003664,0.003664
66,4770.4,0.43729,0.48122,0.97385,0.84939,0.79413,0.82287,0.67094,0.52473,0.45188,0.96219,0.003565,0.003565,0.003565
67,4840.61,0.43782,0.4822,0.97249,0.85018,0.79407,0.82253,0.67077,0.52494,0.45134,0.96209,0.003466,0.003466,0.003466
68,4910.5,0.43419,0.47758,0.97261,0.84959,0.79394,0.82259,0.67117,0.52476,0.45099,0.96201,0.003367,0.003367,0.003367
69,4980.26,0.43712,0.47573,0.97242,0.84831,0.79324,0.82252,0.67129,0.52493,0.45035,0.96176,0.003268,0.003268,0.003268
70,5050.18,0.42877,0.47044,0.96961,0.84885,0.79469,0.82294,0.67131,0.52389,0.45003,0.96107,0.003169,0.003169,0.003169
71,5120.26,0.43291,0.47064,0.97177,0.8496,0.79469,0.82293,0.67097,0.52373,0.4493,0.96083,0.00307,0.00307,0.00307
